bm25_k,vector_k,reranker_model,reranker_top_n,chunk_params,embedding_model,ensemble_weights,avg_bleu,reference_accuracy,avg_rouge1_recall,avg_rouge2_recall
3,5,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4819,0.7531,0.8459,0.7117
5,5,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4817,0.7531,0.8587,0.7282
5,3,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.481525,0.7499750000000001,0.8501,0.712825
3,3,bge-reranker-large,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.48145,0.7469,0.84975,0.7161
3,5,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.481325,0.71295,0.8207249999999999,0.6864
5,3,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4813,0.7407,0.8449,0.7034
5,3,bge-reranker-large,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4813,0.7531,0.8541,0.7165
5,5,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.5, 0.5]",0.4803,0.7407,0.8509,0.7191
5,3,bge-reranker-base,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.47909999999999997,0.75615,0.830875,0.69825
5,3,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.7, 0.3]",0.4789,0.7407,0.8522,0.723
3,3,bge-reranker-large,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.478575,0.7685,0.847925,0.717525
3,3,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.5, 0.5]",0.478375,0.740725,0.8532,0.71855
3,5,bge-reranker-large,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4783,0.7407,0.8428,0.7118
5,3,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.478125,0.7407,0.8492500000000001,0.713175
5,3,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.7, 0.3]",0.478125,0.75305,0.851675,0.71545
5,3,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.477975,0.75305,0.849275,0.711125
5,5,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.7, 0.3]",0.4778,0.7407,0.8466,0.7112
3,5,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.477525,0.71295,0.817,0.683925
3,5,bge-reranker-base,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4773,0.7531,0.8403,0.7023
3,3,bge-reranker-base,3,"(500, 150)",xiaobu-embedding-v2,"[0.7, 0.3]",0.4773,0.7654,0.8467,0.7072
3,5,bge-reranker-large,3,"(500, 150)",m3e-base,"[0.5, 0.5]",0.4772,0.7037,0.8458,0.7101
3,5,bge-reranker-v2-m3,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4771,0.75,0.80985,0.6769499999999999
3,3,bge-reranker-base,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.477,0.7284,0.8329,0.6912
3,3,bge-reranker-large,3,"(300, 100)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.47695,0.734575,0.818975,0.689875
5,5,bge-reranker-v2-m3,3,"(500, 150)",gte_Qwen2-7B-instruct,"[0.5, 0.5]",0.4769,0.7654,0.8614,0.7193
3,3,bge-reranker-v2-m3,3,"(300, 100)",xiaobu-embedding-v2,"[0.7, 0.3]",0.476875,0.740725,0.8476,0.71545
5,5,bge-reranker-v2-m3,3,"(300, 100)",m3e-base,"[0.5, 0.5]",0.476825,0.7469,0.8471,0.71245
